"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
4.05,4.143333,4.006666,4.113333,36217200,3.220623,0.0106470844078532,0.136667,0.0933330000000003
4.163333,4.286666,4.113333,4.253333,38462700,3.330238,0.0340353403673761,0.173333,0.123333000000001
4.223333,4.323333,4.113333,4.2,54852300,3.28848,-0.0125390437560319,0.21,0.0999999999999996
4.25,4.276666,4.1,4.186666,76164900,3.27804,-0.00317471901912125,0.176666,0.0266659999999996
4.093333,4.173333,4.066666,4.076666,57158100,3.191913,-0.0262739319837464,0.106667000000001,0.0800000000000001
4.083333,4.146666,4.076666,4.146666,43942500,3.246721,0.0171708940688546,0.0699999999999994,0.0633330000000001
4.196666,4.28,4.143333,4.24,43917900,3.319799,0.0225082475519147,0.136667,0.0833340000000007
4.236666,4.316666,4.233333,4.26,20166000,3.335459,0.00471715305655551,0.0833329999999997,0.0800000000000001
4.243333,4.28,4.2,4.26,18460200,3.335459,0,0.0800000000000001,0.0366670000000004
4.203333,4.266666,4.1,4.126666,26949600,3.231062,-0.0312991405380789,0.166666,0.0633330000000001
4.17,4.216666,4.113333,4.203333,21491100,3.29109,0.0185784116801224,0.103333,0.0466660000000001
4.23,4.246666,4.156666,4.196666,16797900,3.28587,-0.00158610065358289,0.0899999999999999,0.0166659999999998
4.16,4.173333,4.066666,4.09,35350200,3.202354,-0.0254167085125097,0.106667000000001,0.0133330000000003
4.063333,4.13,3.993333,4.016666,32409000,3.144935,-0.0179302475616375,0.136667,0.0666669999999998
4.016666,4.06,3.953333,4.033333,23275500,3.157985,0.00414952932254575,0.106666999999999,0.0433339999999998
4.023333,4.163333,4.023333,4.086666,27859800,3.199743,0.0132229887095727,0.14,0.14
4.126666,4.163333,4.06,4.133333,37647300,3.236282,0.0114193546169177,0.103333,0.0366669999999996
4.096666,4.113333,4.033333,4.1,19414500,3.242638,0.00196398212516713,0.0800000000000001,0.016667
4.05,4.156666,4.033333,4.066666,40229400,3.216275,-0.0081301088804856,0.123333000000001,0.106666000000001
4.06,4.073333,3.96,4.033333,32730300,3.189912,-0.00819674934512749,0.113333,0.0133330000000003
4.02,4.04,3.85,3.94,37187700,3.116096,-0.0231404502694745,0.19,0.0200000000000005
3.94,3.953333,3.85,3.903333,8910900,3.087097,-0.00930619595801929,0.103333,0.0133330000000003
3.89,3.893333,3.786666,3.856666,44069700,3.050188,-0.0119558925424113,0.106667,0.00333300000000003
3.843333,3.986666,3.813333,3.9,34619700,3.084461,0.0112363565786766,0.173333,0.143333
3.883333,3.903333,3.833333,3.853333,49463400,3.047553,-0.0119657859185122,0.0699999999999998,0.02
3.846666,3.9,3.733333,3.733333,57883500,2.952646,-0.0311420342812743,0.166667,0.053334
3.7,3.9,3.7,3.86,32675100,3.052825,0.0339285508659013,0.2,0.2
3.883333,3.95,3.87,3.94,76496100,3.116096,0.0207253936927274,0.0800000000000001,0.0666670000000003
3.956666,3.966666,3.873333,3.923333,66949200,3.102915,-0.00422997237569067,0.0933329999999999,0.0100000000000002
3.933333,3.946666,3.88,3.913333,53925000,3.095006,-0.00254889354042886,0.0666660000000001,0.0133329999999998
